,index,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,home_field,angle,layup,seconds_remaining_accuracy,shot_distance_accuracy,minutes_remaining_accuracy,period_accuracy,shot_type_accuracy,action_type_accuracy,lat_accuracy,lon_accuracy,angle_accuracy,season_accuracy
0,0,Jump Shot,Jump Shot,10,20000012,33.9723,167,72,-118.1028,10,1,0,2000-01,27,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,1,0,2332.0,0,0.45933014354066987,0.400836820083682,0.4549499443826474,0.46567164179104475,0.4773477939364062,0.3269133619600909,0.3963963963963964,0.2153846153846154,0.0,0.4666666666666667
1,7,Jump Shot,Jump Shot,254,20000012,34.0163,1,28,-118.2688,8,3,0,2000-01,5,2,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,8,0,12865.0,0,0.4822888283378747,0.6609195402298851,0.4659661946094107,0.46567164179104475,0.4773477939364062,0.3853296193129062,0.4251497005988024,0.4666666666666667,0.46095829636202307,0.4666666666666667
2,16,Driving Layup Shot,Layup,100,20000019,34.0443,0,0,-118.2698,0,1,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,17,0,3467.0,0,0.44472361809045224,0.41644562334217505,0.4659661946094107,0.46567164179104475,0.4773477939364062,0.3269133619600909,0.46774193548387094,0.39344262295081966,0.5,0.4666666666666667
3,19,Driving Layup Shot,Layup,249,20000019,34.0443,0,0,-118.2698,10,3,0,2000-01,46,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,20,0,15843.0,0,0.42720763723150357,0.41475826972010177,0.48187633262260127,0.46567164179104475,0.4773477939364062,0.5982042648709316,0.39436619718309857,0.38461538461538464,0.2,0.4666666666666667
4,32,Jump Shot,Jump Shot,4,20000047,33.9683,163,76,-118.1068,11,1,0,2000-01,26,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,33,1,0.0,1,0.44715447154471544,0.634765625,0.4514093395035759,0.45344187375035705,0.4773477939364062,0.9180327868852459,0.6155655334616207,0.6207576089336545,0.25,0.4666666666666667
5,33,Jump Shot,Jump Shot,8,20000047,33.8503,70,194,-118.1998,10,1,0,2000-01,58,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,34,1,0.0,1,0.44562899786780386,0.634765625,0.4659661946094107,0.4137018037398643,0.4773477939364062,0.7788018433179723,0.6155655334616207,0.6207576089336545,0.0,0.4666666666666667
6,34,Layup Shot,Layup,26,20000047,34.0253,1,19,-118.2688,7,1,0,2000-01,33,1,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,35,0,7015.0,0,0.43710021321961623,0.39778449144008055,0.4472295514511873,0.46567164179104475,0.4773477939364062,0.3269133619600909,0.448,0.4603174603174603,0.3333333333333333,0.4666666666666667
7,35,Layup Shot,Layup,37,20000047,34.0293,-12,15,-118.2818,5,1,0,2000-01,58,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,36,0,0.0,1,0.44522144522144524,0.634765625,0.42347600518806744,0.4137018037398643,0.4773477939364062,0.9473684210526315,0.6155655334616207,0.6207576089336545,1.0,0.4666666666666667
8,36,Reverse Layup Shot,Layup,53,20000047,34.0403,1,4,-118.2688,4,1,0,2000-01,9,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,37,0,197.0,0,0.4329411764705882,0.3893877551020408,0.46996466431095407,0.46567164179104475,0.4773477939364062,0.3269133619600909,0.44545454545454544,0.4528301886792453,1.0,0.4666666666666667
9,37,Jump Shot,Jump Shot,165,20000047,33.9283,-117,116,-118.3868,5,2,0,2000-01,33,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,38,0,0.0,1,0.3799212598425197,0.634765625,0.46996466431095407,0.46567164179104475,0.4773477939364062,0.7414004914004914,0.6155655334616207,0.6207576089336545,0.5,0.4666666666666667
